('C2',) / [10201, -98.44, -540.0, -425.0, -592.0, -419.0, -382.0]
('C3',) / [10301, -98.36, -539.98, -425.0, -592.0, -419.0, -382.0]
('C4',) / [10401, -98.22, -539.96, -425.0, -592.0, -419.0, -382.0]
('C4', 'C3', 'C3', 'C2', 'C2') / [60403, 0, -495.0, -402.0, -585.0, -392.36, -374.22]
('C4', 'C4', 'C3', 'C2', 'C2') / [60404, 0, -495.0, -402.0, -585.0, -392.34, -374.22]
('C4', 'C4', 'C3', 'C3', 'C2') / [60404, 0, -495.0, -402.0, -585.0, -392.34, -374.22]
('C5',) / [10501, -97.96, -539.96, -425.0, -592.0, -419.0, -382.0]
('C5', 'C3', 'C3', 'C2', 'C2') / [60503, 0, -495.0, -402.0, -585.0, -392.34, -374.22]
('C5', 'C4', 'C3', 'C2', 'C2') / [60504, 0, -495.0, -402.0, -585.0, -392.32, -374.2]
('C5', 'C4', 'C3', 'C3', 'C2') / [60504, 0, -495.0, -402.0, -585.0, -392.32, -374.2]
('C5', 'C4', 'C4', 'C2', 'C2') / [60504, 0, -495.0, -402.0, -585.0, -392.32, -374.2]
('C5', 'C4', 'C4', 'C3', 'C2') / [60504, 0, -495.0, -402.0, -585.0, -392.32, -374.2]
('C5', 'C4', 'C4', 'C3', 'C3') / [60504, 0, -495.0, -402.0, -585.0, -392.32, -374.2]
('C5', 'C5', 'C3', 'C2', 'C2') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C3', 'C3', 'C2') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C4', 'C2', 'C2') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C4', 'C3', 'C2') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C4', 'C3', 'C3') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C4', 'C4', 'C2') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C5', 'C5', 'C4', 'C4', 'C3') / [60505, 0, -495.0, -402.0, -585.0, -392.3, -374.2]
('C6',) / [10601, -97.5, -539.94, -424.99, -592.0, -419.0, -382.0]
('C6', 'C3', 'C3', 'C2', 'C2') / [60603, 0, -495.0, -402.0, -585.0, -392.28, -374.18]
('C6', 'C4', 'C3', 'C2', 'C2') / [60604, 0, -495.0, -402.0, -585.0, -392.26, -374.18]
('C6', 'C4', 'C3', 'C3', 'C2') / [60604, 0, -495.0, -402.0, -585.0, -392.26, -374.18]
('C6', 'C4', 'C4', 'C2', 'C2') / [60604, 0, -495.0, -402.0, -585.0, -392.26, -374.18]
('C6', 'C4', 'C4', 'C3', 'C2') / [60604, 0, -495.0, -402.0, -585.0, -392.26, -374.18]
('C6', 'C4', 'C4', 'C3', 'C3') / [60604, 0, -495.0, -402.0, -585.0, -392.26, -374.18]
('C6', 'C5', 'C3', 'C2', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C3', 'C3', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C4', 'C2', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C4', 'C3', 'C2') / [90605, 0, 2497.5, 1998.0, 1497.0, 859.08, 88.28]
('C6', 'C5', 'C4', 'C3', 'C3') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C4', 'C3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'C3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'C3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'C4', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C4', 'C4', 'C3') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C4', 'D3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'D3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'D3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'D3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'H3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'H3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'H3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'H3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'S3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'S3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'S3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C4', 'S3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'C5', 'C2', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C5', 'C3', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C5', 'C3', 'C3') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C5', 'C4', 'C2') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C5', 'C4', 'C3') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'C5', 'C4', 'C4') / [60605, 0, -495.0, -402.0, -585.0, -392.14, -374.18]
('C6', 'C5', 'D4', 'C3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'C3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'C3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'C3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'D3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'D3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'D3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'D3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'H3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'H3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'H3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'H3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'S3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'S3', 'D2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'S3', 'H2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'D4', 'S3', 'S2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
('C6', 'C5', 'H4', 'C3', 'C2') / [50605, 0, -495.0, -402.0, -585.0, -410.48, -381.1]
