Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,611.7,1988.125,2303.3,     Ok,   True,-12,0,-20,0,-12,-32,0,1,   Q, Pair 9, Trip SSK, Four 3, Four 5, Four 8, (2303.3, (11202, 15.7), (20907, 22.1), (41344, 569.8), (80310, 994.9), (80511, 521.3), (80811, 179.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,610.5,1443.8,1676.3, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,  CK, Pair 8, Pair 9, Trip SHA, Flush J, EightSF Q, (1676.3, (11301, 26.9), (20812, 19.8), (20910, 7.1), (41443, 218.1), (61107, 15.3), (151211, 1389.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1094.2,3351.475,3500, Monster,   True,64,120,70,120,64,254,1,1,   A, Trip SH7, Trip HC8, Four 9, FiveSF A, Five 4, (3500.0, (11402, 67.8), (40743, 647.0), (40831, 242.2), (80913, 1151.1), (91405, 953.6), (100400, 438.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,627.8,1547.475,1653.4, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,   A, Trip HHJ, Trip HDQ, Trip HHK, Straight 8, Four 2, (1653.4, (11403, 82.5), (41133, 850.2), (41232, 457.1), (41333, 126.8), (50807, 3.1), (80214, 133.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,463.8,1520.175,2427.7, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,   K, Pair Q, Pair A, Trip HH2, FiveSF K, Seven 6, (2427.7, (11301, 26.9), (21210, 36.4), (21407, 21.2), (40233, 20.0), (91312, 946.3), (140600, 1376.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,440.5,1720.45,1406.5,     Ok,   True,-52,0,-20,0,-52,-72,0,1,   K, Trip SD7, Trip SCJ, Trip SHA, FullH 4, FullH 5, (1406.5, (11304, 47.8), (40742, 626.3), (41141, 398.9), (41443, 218.1), (70403, 93.3), (70502, 22.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,240.3,908.6,860.5,    Sad,  False,0,-40,-10,-40,-12,-82,0,2,   K, Trip SH4, Trip SS7, Trip SSJ, Flush T, Flush A, (860.5, (11303, 39.8), (40443, 471.6), (40744, 237.4), (41144, 85.0), (61009, 14.2), (61414, 12.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,199.8,1124.425,382.4,    Sad,  False,0,-40,-10,-80,0,-100,0,2,  HA, Pair J, Trip SD5, Trip SH9, Flush Q, Flush A, (382.4, (11403, 82.5), (21112, 33.8), (40542, 180.2), (40943, 53.5), (61208, 20.0), (61413, 12.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,419.7,1104.55,1243.1,    Sad,  False,0,-40,-10,80,64,204,1,2,   Q, Trip SH2, Trip SS3, Trip SS5, Four 4, Four 6, (1243.1, (11201, 13.3), (40243, 386.5), (40344, 153.4), (40544, 30.3), (80411, 499.0), (80610, 160.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,310.1,1604.95,1027.9,     Ok,   True,-22,0,-20,-40,-22,-92,0,2,   K, Trip SD7, Trip SS8, Trip SHT, Flush J, Flush Q, (1027.9, (11303, 39.8), (40742, 626.3), (40844, 274.2), (41043, 65.1), (61110, 18.4), (61211, 4.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,615.3,1333.075,1607.5, Not Ok,  False,0,-40,-10,-80,0,-100,0,2,   Q, Pair 8, Pair K, Trip SDJ, FullH 3, Seven A, (1607.5, (11204, 22.7), (20810, 18.9), (21306, 19.1), (41142, 77.3), (70307, 86.9), (141400, 1382.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,1216.1,2081.425,3579.6,   Good,   True,22,160,60,160,-30,170,1,2,   A, Pair 5, Pair T, Five 2, Five Q, Five K, (3579.6, (11403, 82.5), (20511, 7.8), (21009, 10.0), (100200, 1782.0), (101200, 1189.3), (101300, 508.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,1284.1,2242.025,1616.3,   Good,   True,-15,0,-20,-40,-27,-117,0,3,   K, Pair Q, Trip DCJ, Trip SHA, Flush T, Six 5, (1616.3, (11303, 39.8), (21210, 36.4), (41121, 376.6), (41443, 218.1), (61007, 12.6), (120500, 932.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,314.9,1391.75,1829.5, Not Ok,  False,0,-40,-10,-120,0,-150,0,3,  DK, Pair 7, Pair 9, Four 2, Four 8, Four A, (1829.5, (11302, 32.5), (20706, 13.1), (20905, 5.9), (80210, 954.9), (80812, 591.2), (81411, 231.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,315.7,1818.875,1656.1,     Ok,   True,-25,0,-20,80,39,159,1,3,   Q, Trip SS9, Trip HDK, Trip SDA, FullH 6, FullH 7, (1656.1, (11203, 18.9), (40944, 783.7), (41332, 525.3), (41442, 195.6), (70602, 104.9), (70704, 27.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,766.8,1186.625,1133,    Sad,  False,0,-40,-10,-80,-22,-142,0,3,   A, Trip SS6, Trip SH8, Trip DC9, Flush K, Four 2, (1133.0, (11402, 67.8), (40644, 588.7), (40843, 268.4), (40921, 46.3), (61312, 32.1), (80211, 129.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,842.1,1763.175,2295.3,     Ok,   True,-18,0,-20,-80,-18,-138,0,3,   A, Pair J, Trip DD6, Four 3, Four 4, Five Q, (2295.3, (11402, 67.8), (21108, 31.8), (40622, 190.4), (80310, 994.9), (80413, 509.9), (101200, 500.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,2617,4364.125,3148.1, Monster,   True,58,80,80,240,28,388,2,3,   A, Pair 5, Trip HD7, Four J, Five T, Five K, (3148.1, (11401, 56.2), (20509, 7.0), (40732, 218.6), (81112, 1174.1), (101000, 1184.2), (101300, 508.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,124.2,931.35,755.3,    Sad,  False,0,-40,-10,-80,-27,-167,0,4,   A, Trip SS3, Trip SD4, Trip SDT, Straight K, Flush K, (755.3, (11403, 82.5), (40344, 432.6), (40442, 162.8), (41042, 61.6), (51312, 7.9), (61312, 7.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,525.5,2042.3,2767.8,   Good,   True,5,160,60,40,5,75,1,4,  HK, Trip SH6, Trip SS8, Four 2, Four Q, Four A, (2767.8, (11303, 39.8), (40643, 579.2), (40844, 274.2), (80211, 961.7), (81213, 681.0), (81411, 231.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,231.2,1329.325,1059.9, Not Ok,  False,0,-40,-10,40,39,109,1,4,   A, Trip SH4, Trip SS7, Trip SHJ, Flush 9, Four 5, (1059.9, (11404, 100.0), (40443, 471.6), (40744, 237.4), (41143, 82.3), (60908, 11.7), (80513, 156.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,386.1,1335.55,507.3, Not Ok,  False,0,-40,-10,-120,-22,-192,0,4,   A, Pair T, Pair J, Pair K, Flush Q, FiveSF A, (507.3, (11404, 100.0), (21009, 28.6), (21108, 13.2), (21308, 5.6), (61209, 21.1), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,231,1190.325,1304.7,    Sad,  False,0,-40,-10,-120,-18,-188,0,4,   J, Trip SH8, Trip HHT, Trip SHA, Flush J, Flush A, (1304.7, (11101, 6.6), (40843, 711.0), (41033, 339.8), (41443, 218.1), (61109, 16.8), (61413, 12.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,1503.6,2326.175,2282.2,   Good,   True,-5,0,-20,240,23,363,2,4,   A, Pair 4, Trip HCQ, Four 2, Four 3, FiveSF 9, (2282.2, (11402, 67.8), (20410, 4.8), (41231, 448.0), (80211, 961.7), (80313, 488.6), (90908, 311.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,750.8,2200.775,1520.4,   Good,   True,-42,0,-20,-80,-69,-229,0,5,   T, Trip SH8, Trip SHJ, Trip SHA, Flush T, Four 4, (1520.4, (11003, 4.7), (40843, 711.0), (41143, 429.5), (41443, 218.1), (61009, 14.2), (80409, 142.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,673,2212.2,1736.5,   Good,   True,23,0,-20,40,28,78,1,5,  SA, Trip SS8, Trip SCQ, Trip SHK, FullH 7, Four 9, (1736.5, (11404, 100.0), (40844, 721.2), (41241, 465.2), (41343, 149.4), (70704, 109.1), (80914, 191.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,729.1,1143,1153.1,    Sad,  False,0,-40,-10,0,39,59,1,5,   A, Pair Q, Pair K, Trip DC6, Four 5, Five 7, (1153.1, (11403, 82.5), (21210, 36.4), (21309, 20.5), (40621, 30.5), (80511, 521.3), (100700, 461.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,359.9,1244.1,1154.5, Not Ok,  False,0,-40,-10,-160,-22,-242,0,5,   A, Pair 9, Pair T, Pair J, Four Q, FiveSF A, (1154.5, (11404, 100.0), (20908, 23.2), (21008, 9.7), (21106, 1.8), (81213, 681.0), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,664.7,1671.1,1905.9,     Ok,   True,42,80,80,-40,24,14,1,5,   A, Trip SST, Trip SSJ, Trip HHK, Straight 8, Five 3, (1905.9, (11402, 67.8), (41044, 837.5), (41144, 440.2), (41333, 126.8), (50807, 3.1), (100300, 430.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,416.5,1677.225,1519.9,     Ok,   True,-23,0,-20,240,0,320,2,5,   A, Trip HDT, Trip SHJ, Trip DDK, FullH 2, FullH 3, (1519.9, (11403, 82.5), (41032, 797.9), (41143, 429.5), (41322, 116.0), (70207, 77.8), (70305, 16.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,2,1695.3,3013.225,3463, Monster,   True,43,80,80,0,-26,-26,1,6,   J, Pair 2, Pair 7, Four Q, SixSF K, SixSF A, (3463.0, (11104, 11.3), (20208, 0.9), (20706, 2.7), (81210, 1181.5), (111312, 1536.0), (111406, 730.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
